CVE Reference       File Name                                         
CVE-2019-2197       CachedBluetoothDevice.java                        
CVE-2019-2173       ActivityManagerService.java                       
CVE-2019-2173       ActivityStartController.java                      
CVE-2019-2173       ActivityStarter.java                              
CVE-2019-2173       PendingIntentRecord.java                          
CVE-2019-2123       AndroidManifest.xml                               
CVE-2019-2123       IParcelExceptionService.aidl                      
CVE-2019-2123       ParcelTest.java                                   
CVE-2019-2174       SensorManager.cpp                                 
CVE-2019-2175       SliceManagerService.java                          
CVE-2019-2175       UiServiceTestCase.java                            
CVE-2019-2175       PinnedSliceStateTest.java                         
CVE-2019-2175       SliceFullAccessListTest.java                      
CVE-2019-2175       SliceManagerServiceTest.java                      
CVE-2019-9254       ServiceTest.java                                  
CVE-2019-2103       SurfaceControl.java                               
CVE-2019-2103       android_view_SurfaceControl.cpp                   
CVE-2019-2103       ScreenRotationAnimation.java                      
CVE-2019-2121       ActivityManagerService.java                       
CVE-2019-2122       LockTaskController.java                           
CVE-2019-2122       LockTaskControllerTest.java                       
CVE-2019-2125       ChangeDefaultDialerDialog.java                    
CVE-2019-2104       WGraphicBufferProducer.h                          
CVE-2019-2090       PackageManagerService.java                        
CVE-2019-2091       DevicePolicyManagerService.java                   
CVE-2019-2092       DevicePolicyManagerService.java                   
CVE-2019-2043       SmsDefaultDialog.java                             
CVE-2018-20346      README.version                                    
CVE-2018-20346      Android.patch                                     
CVE-2018-20346      sqlite3.c                                         
CVE-2018-20346      sqlite3.h                                         
CVE-2018-20346      sqlite3.c                                         
CVE-2018-20346      sqlite3.h                                         
CVE-2019-2003       Linkify.java                                      
CVE-2019-2003       TextClassification.java                           
CVE-2019-2003       TextLinksParams.java                              
CVE-2019-2003       SelectionActionModeHelper.java                    
CVE-2019-2003       TextClassificationManagerTest.java                
CVE-2019-2003       TextViewActivityTest.java                         
CVE-2019-2004       InputTransport.h                                  
CVE-2019-2004       InputTransport.cpp                                
CVE-2019-2004       StructLayout_test.cpp                             
CVE-2019-2005       GrantPermissionsActivity.java                     
CVE-2019-1986       SkAndroidFrameworkUtils.h                         
CVE-2019-1986       SkAndroidFrameworkUtils.cpp                       
CVE-2019-1987       SkAndroidFrameworkUtils.h                         
CVE-2019-1987       SkAndroidFrameworkUtils.cpp                       
CVE-2019-1988       SkBmpStandardCodec.cpp                            
CVE-2019-1988       SkGifCodec.cpp                                    
CVE-2019-1988       SkHeifCodec.cpp                                   
CVE-2019-1988       SkJpegCodec.cpp                                   
CVE-2019-1988       SkJpegDecoderMgr.cpp                              
CVE-2019-1988       SkPngCodec.cpp                                    
CVE-2019-1988       SkRawCodec.cpp                                    
CVE-2019-1988       SkSwizzler.cpp                                    
CVE-2019-1988       SkSwizzler.h                                      
